Language,original,english,german,chinesesimp,chinese,russian,czech,polish,hungarian,italian,spanish,french,portuguese,japanese,Column 16
only_for_cops,Only for cops,Only for cops,Nur für Polizei,只为警察,只為警察,Только для копов,Pouze pro policajty,Tylko dla gliniarzy,Csak rendőröknek,Solo per poliziotti,Solo para policias,Seulement pour les flics,Só para policiais,警官のみ,
Player_Name,Player Name,Player Name,Spieler Name,参赛者姓名,參賽者姓名,Имя игрока,Jméno hráče,Nazwa gracza,Játékos neve,Nome del giocatore,Nombre del jugador,Nom de joueur,Nome do jogador,プレーヤの名前,
last_log_in_day,last log in day,last log in,Zuletzt Online,最后登录日,最後登錄日,Последний вход в день,poslední den přihlášení,dzień ostatniego logowania,utolsó bejelentkezési nap,ultimo giorno di accesso,último día de inicio de sesión,dernier jour de connexion,último dia de login,最終ログイン日,
Delete_player,Delete Player,Delete Player,Spieler Löschen,删除播放器,刪除播放器,Удалить игрока,Smazat hráče,Usuń gracza,Player törlése,Elimina giocatore,Eliminar jugador,Supprimer le joueur,Excluir jogador,プレーヤーを削除する,
admin_Panel,Admin Panel,Admin Panel,Admin Panel,管理面板,管理面板,Панель администратора,administrátorská lišta,Panel administratora,Adminisztrációs Panel,Pannello di Amministrazione,Panel de administrador,panneau d'administration,Painel de Administração,管理パネル,
player_data_was_deleted,Player was deleted.,Player was deleted.,Spieler wurden gelöscht.,播放器已删除。,播放器已刪除。,Игрок был удален.,Hráč byl smazán.,Gracz został usunięty.,A lejátszót törölte.,Il lettore è stato eliminato.,El jugador fue eliminado.,Le joueur a été supprimé.,O jogador foi excluído.,プレイヤーが削除されました。,
no_player_selected,no player selected,no player selected,kein Spieler ausgewählt.,未选择玩家,未選擇玩家,Ни один игрок не выбран,není vybrán žádný hráč,żaden gracz nie został wybrany,nincs kiválasztva játékos,nessun giocatore selezionato,ningún jugador seleccionado,aucun joueur sélectionné,nenhum jogador selecionado,プレイヤーが選択されていません,
server_admin_must_upgrade_licences_dayZ_life_mod_deactivate,"Server Admin must upgrade licence,DayZ Life was deactivated.","Server Admin must upgrade licence,DayZ Life was deactivated.",Server Admin muss die License hoch stufen. DayZLife Mod wurde deaktiviert.,Server Admin必须升级许可证，DayZ Life已停用。,Server Admin必須升級許可證，DayZ Life已被停用。,"Администратор сервера должен обновить лицензию, DayZ Life отключен.","Správce serveru musí upgradovat licenci, DayZ Life byl deaktivován.","Administrator serwera musi zaktualizować licencję, DayZ Life zostało dezaktywowane.","A kiszolgáló rendszergazdának frissítenie kell a licencet, a DayZ Life deaktiválva volt.","L'amministratore del server deve aggiornare la licenza, DayZ Life è stato disattivato.","El administrador del servidor debe actualizar la licencia, DayZ Life fue desactivado.","L'administrateur du serveur doit mettre à niveau la licence, DayZ Life a été désactivé.","O administrador do servidor deve atualizar a licença, DayZ Life foi desativado.",サーバー管理者はライセンスをアップグレードする必要があり、DayZLifeは非アクティブ化されました。,
raid_can_not_start_wrong_time,"Raid can not start,wrong time.","Raid can not start,wrong time.","Überfall kann nicht gestartet werden,falsche Uhrzeit.",突袭无法开始，时间错误。,突襲無法開始，時間錯誤。,"Рейд не может начаться, неподходящее время.","Raid nelze spustit, špatný čas.","Raid nie może się rozpocząć, zły czas.","Raid nem tud elindulni, rossz időben.","Il raid non può iniziare, momento sbagliato.","Raid no puede comenzar, mal momento.","Raid ne peut pas commencer, mauvais moment.","Raid não pode começar, hora errada.",襲撃を開始できません、間違った時間。,
You_can_only_open_when_you_are_a,You can only open the trader when you are a,You can only open the trader when you are a,Du kannst den Händler nur öffnen wenn du den folgenden Job hast,您只有在,您只能在,"Вы можете открыть трейдера, только если вы","Obchodníka můžete otevřít, pouze pokud jste","Możesz otworzyć tradera tylko wtedy, gdy jesteś","A kereskedőt csak akkor nyithatja meg, ha a",Puoi aprire il trader solo quando sei un,Solo puede abrir el trader cuando es un,Vous ne pouvez ouvrir le commerçant que lorsque vous êtes,Você só pode abrir o trader quando for um,あなたがトレーダーを開くことができるのはあなたが,
player_was_manuel_synced,Player data was manually synced,Player data was manually synced,Spielerdaten wurde manuell synchronisiert,播放器数据已手动同步,播放器數據已手動同步,Данные игрока синхронизированы вручную,Data hráče byla synchronizována ručně,Dane gracza zostały zsynchronizowane ręcznie,A lejátszó adatait manuálisan szinkronizálták,I dati del giocatore sono stati sincronizzati manualmente,Los datos del jugador se sincronizaron manualmente,Les données du joueur ont été synchronisées manuellement,Os dados do jogador foram sincronizados manualmente,プレーヤーデータは手動で同期されました,
you_can_not_buy_a_car_spwan_place_is_blocked,You can not buy a car. Spawn position is currently blocked by other Item.,You can not buy a car. Spawn position is currently blocked by other Item.,Du kannst gerade kein Auto kaufen. Spawn Position ist gerade blockiert.,你不能买车。生成位置当前被其他物品阻挡。,你不能買車。生成位置當前被其他物品阻擋。,Вы не можете купить машину. Позиция появления в настоящее время заблокирована другим предметом.,Nemůžete si koupit auto. Umístit pozici je aktuálně blokováno jinou položkou.,Nie możesz kupić samochodu. Pozycja odrodzenia jest obecnie zablokowana przez inny przedmiot.,Nem vásárolhat autót. A spawn pozícióját jelenleg más elem blokkolja.,Non puoi comprare una macchina. La posizione di spawn è attualmente bloccata da un altro oggetto.,No se puede comprar un auto. La posición de aparición está bloqueada actualmente por otro objeto.,Vous ne pouvez pas acheter de voiture. La position d'apparition est actuellement bloquée par d'autres objets.,Você não pode comprar um carro. A posição de Spawn está atualmente bloqueada por outro item.,車は買えません。スポーン位置は現在、他のアイテムによってブロックされています。,
you_can_only_buy_one_car_per_trade,You can only buy one car per trade.,You can only buy one car per trade.,Du kannst nur ein Auto pro Handel kaufen.,您每次交易只能购买一辆汽车。,您每次交易只能購買一輛汽車。,Вы можете купить только одну машину за сделку.,Na jeden obchod si můžete koupit pouze jedno auto.,Możesz kupić tylko jeden samochód na transakcję.,Szakmánként csak egy autót vásárolhat.,Puoi acquistare solo un'auto per scambio.,Solo puede comprar un automóvil por intercambio.,Vous ne pouvez acheter qu'une seule voiture par transaction.,Você só pode comprar um carro por transação.,取引ごとに1台の車しか購入できません。,
update_car_key_list_successful,Car key list updated,Car key list updated,Autoschlüssel wurden aktualisiert,车钥匙清单已更新,車鑰匙清單已更新,Список автомобильных ключей обновлен,Seznam klíčů od auta byl aktualizován,Zaktualizowano listę kluczyków do samochodu,Az autó kulcslistája frissült,Elenco chiavi auto aggiornato,Lista de llaves de coche actualizada,Liste des clés de voiture mise à jour,Lista das chaves do carro atualizada,車のキーリストが更新されました,
open_car_menu,Open car menu,Open car menu,Öffne Auto Menü,打开汽车菜单,打開汽車菜單,Открыть меню машины,Otevřete nabídku automobilů,Otwórz menu samochodu,Nyissa meg az autómenüt,Apri il menu dell'auto,Abrir menú de coche,Ouvrir le menu de la voiture,Abra o menu do carro,車のメニューを開く,
CarKey,Car keys,Car keys,Autoschlüssel,车钥匙,車鑰匙,Ключи автомобиля,Klíče od auta,Kluczyki samochodowe,Kocsi kulcsok,Chiavi della macchina,Llaves del coche,Clés de voiture,Chaves do carro,車のキー,
Deposit_to_bank,deposit bank,deposit bank,Zum Konto,存款银行,存款銀行,Депозитный банк,vkladová banka,bank depozytowy,betéti bank,banca di deposito,deposito bancario,banque de dépôt,banco de depósito,預金銀行,
Deposit_to_player,deposit player,deposit player,Zum Spieler,存款玩家,存款玩家,Депозит игрок,vklad hráče,depozyt gracza,betéti játékos,giocatore di deposito,depositar jugador,joueur de dépôt,jogador de depósito,デポジットプレーヤー,
owner_is,Owner is,Owner is,Besitzer ist,所有者为,所有者為,Владелец,Vlastník je,Właściciel jest,Tulajdonos az,Il proprietario è,El propietario es,Le propriétaire est,Dono é,所有者は,
show_owner,show owner,show owner,Zeige Besitzer,显示所有者,顯示所有者,Доказать владельца,ukázat majitele,właściciel wystawy,show tulajdonos,mostra proprietario,mostrar propietario,propriétaire du spectacle,dono do show,ショーの所有者,
Garage,Garage,Garage,Garage,车库,車庫,Гараж,Garáž,Garaż,Garázs,Box auto,Garaje,Garage,Garagem,ガレージ,
Car_to_Stored,Car to park,Car to park,Fahrzeug einparken,开车去公园,開車去公園,Автомобиль на стоянку,Auto zaparkovat,Samochód do zaparkowania,Autó parkolni,Auto da parcheggiare,Coche para aparcar,Parking voiture,Carro para estacionar,駐車する車,
Cars_in_Sored,Parked cars,Parked cars,Fahrzeuge in der Garage,停放的汽车,停放的汽車,Припаркованные автомобили,Zaparkovaná auta,Zaparkowane samochody,Parkoló autók,Auto parcheggiate,Autos estacionados,Voitures garées,Carros estacionados,駐車中の車,
Store_in,park in,park in,Einparken,停放在,停放在,Припарковаться в,zaparkovat,zaparkuj w,parkoljon be,parcheggiare,aparcar en,se garer dans,estacionar em,に駐車する,
Store_out,park out,park out,Ausparken,停放,停放,Достать авто,zaparkovat,zaparkować,parkolj ki,parcheggiare,aparcar,se garer,estacionar,駐車する,
car_was_parked,Car was parked,Car was parked,Auto wurde geparkt,车停了,車停了,Автомобиль был припаркован,Auto bylo zaparkováno,Samochód był zaparkowany,Autó parkolt,La macchina era parcheggiata,El coche estaba aparcado,La voiture était garée,Carro estava estacionado,車が駐車された,
car_was_parked_out,"Your car waits for you outside,sir","Your car waits for you outside,sir","Ihr Auto wurde ausgeparkt,Sir",先生，你的车在外面等你,先生，你的車在外面等你,"Ваша машина ждет вас снаружи, сэр","Vaše auto na vás čeká venku, pane","Twój samochód czeka na ciebie na zewnątrz, sir","Az autója kint vár rád, uram","La tua macchina ti aspetta fuori, signore","Su auto lo espera afuera, señor","Votre voiture vous attend dehors, monsieur","Seu carro espera por você lá fora, senhor",あなたの車は外であなたを待っています、サー,
car_was_parked_out_some_items_can_not_placed_in_car,"Your car waits for you outside,sir. I was not able to place all items in your car. Please take look under your car.","Your car waits for you outside,sir.  I was not able to place all items in your car. Please take look under your car.","Ihr Auto wurde ausgeparkt,Sir. Ich konnte leider nicht alles ins Auto zurück legen. Schauen sie bitte auch unter dem Auto nach.",先生，你的车在外面等你。我无法将所有物品都放在您的车上。请看你的车下。,先生，你的車在外面等你。我無法將所有物品都放在您的車上。請看你的車下。,"Ваша машина ждет вас снаружи, сэр. Мне не удалось разместить все предметы в твоей машине. Пожалуйста, загляните под свою машину.","Vaše auto na vás čeká venku, pane. Nebyl jsem schopen umístit všechny položky do vašeho auta. Podívejte se prosím pod vaše auto.","Twój samochód czeka na ciebie na zewnątrz, sir. Nie udało mi się umieścić wszystkich przedmiotów w Twoim samochodzie. Proszę zajrzeć pod swój samochód.","Az autója kint vár rád, uram. Nem tudtam minden elemet elhelyezni az autójában. Kérjük, nézze meg autója alatt.","La tua macchina ti aspetta fuori, signore. Non sono riuscito a posizionare tutti gli oggetti nella tua auto. Per favore, guarda sotto la tua macchina.","Su auto lo espera afuera, señor. No pude colocar todos los artículos en su automóvil. Por favor, mire debajo de su automóvil.","Votre voiture vous attend dehors, monsieur. Je n'ai pas pu placer tous les objets dans votre voiture. Veuillez regarder sous votre voiture.","Seu carro espera por você lá fora, senhor. Não consegui colocar todos os itens no seu carro. Por favor, dê uma olhada embaixo do seu carro.",あなたの車は外であなたを待っています、先生。私はあなたの車にすべてのアイテムを置くことができませんでした。車の下をご覧ください。,
open_car_garage_menu,Open car garage menu,Open car garage menu,Garagenmenü öffnen,打开车库菜单,打開車庫菜單,Меню открытого гаража,Otevřete nabídku autoservisů,Otwórz menu garażu samochodowego,Nyissa meg az autógarázs menüjét,Apri il menu del box auto,Menú de garaje abierto,Ouvrir le menu du garage automobile,Menu de garagem aberta,オープンカーガレージメニュー,
car_spwan_place_is_blocked,car spawn place is blocked,car spawn place is blocked,Auto spawn Platz ist nicht frei.,汽车产卵的地方被封锁,汽車產卵的地方被封鎖,место появления машины заблокировано,místo pro rozmístění automobilů je blokováno,miejsce odrodzenia samochodu jest zablokowane,autó ívási helye el van zárva,il luogo di spawn dell'auto è bloccato,el lugar de generación de automóviles está bloqueado,le lieu d'apparition de la voiture est bloqué,o local de geração do carro está bloqueado,車のスポーン場所がブロックされています,
car_is_not_empty,Car is not empty,Car is not empty,Auto ist nicht leer,车不空,車不空,Автомобиль не пустой,Auto není prázdné,Samochód nie jest pusty,Az autó nem üres,L'auto non è vuota,El coche no está vacío,La voiture n'est pas vide,Carro nao esta vazio,車は空ではありません,
no_car_selected,no car selected,no car selected,kein Auto ausgewählt,没有选择车,沒有選擇車,Машина не выбрана,není vybráno žádné auto,nie wybrano samochodu,nincs kiválasztva autó,nessuna macchina selezionata,ningún coche seleccionado,aucune voiture sélectionnée,nenhum carro selecionado,車が選択されていません,
car_was_successful_raided,car was successfully raided,car was successfully raided,Auto wurde erfolgreich geknackt,汽车被成功突袭,汽車被成功突襲,Автомобиль был успешно ограблен,auto bylo úspěšně přepadeno,samochód został pomyślnie napadnięty,autót sikeresen rajtaütötték,l'auto è stata razziata con successo,el coche fue allanado con éxito,la voiture a été attaquée avec succès,carro foi invadido com sucesso,車は首尾よく襲撃されました,
car_raid_has_failed,car raid failed,car raid failed,Auto konnte nicht geknackt werden,汽车袭击失败,汽車襲擊失敗,Налет на машину провалился,nájezd auta selhal,nalot samochodowy nie powiódł się,autós rajtaütés nem sikerült,raid automobilistico fallito,redada de coche fallida,raid de voiture a échoué,batida de carro falhou,車の襲撃に失敗しました,
go_to_the_light,go to the lights,go to the lights,ins Licht gehen,去灯光,去燈光,Иди к свету,jdi na světla,idź do świateł,menj a fényekhez,vai alle luci,ve a las luces,aller aux lumières,vá para as luzes,ライトに行きます,
go_to_hospital,to hospital,to hospital,zum Krankenhaus,去医院,去醫院,В больницу,do nemocnice,do szpitala,kórházba,in ospedale,al hospital,a l'hopital,para o Hospital,病院へ,
call_a_medic,call a medic,call a medic,Arzt rufen,打电话给医生,打電話給醫生,Вызвать медика,zavolej zdravotníka,wezwać lekarza,hívjon orvost,chiama un medico,llamar a un médico,appeler un médecin,chame um médico,医者を呼ぶ,
Active_Job,Active Job,Active Job,Aktive Arbeit,现役,現役,Активная работа,Aktivní práce,Aktywna praca,Aktív munka,Lavoro attivo,Trabajo activo,Travail actif,Trabalho Ativo,アクティブな仕事,
Can_be_Job_Cop,Can be Job Cop,Can be Job Cop,Kann Cop werden,可以当警察,可以當警察,Может быть полицейским,Může to být policajt,Może być policjantem,Lehet munkás rendőr,Può essere un poliziotto,Puede ser Job Cop,Peut être Job Cop,Pode ser Job Cop,仕事の警官になることができます,
Can_be_Job_Medic,Can be Job Medic,Can be Job Medic,Kann Medic werden,可以当医生,可以當醫生,Может работать медиком,Může to být lékař,Może być lekarzem,Munkaorvos lehet,Può essere un medico di lavoro,Puede ser Job Medic,Peut être Job Medic,Pode ser Job Medic,仕事の医者になることができます,
call_a_medic,call a medic, call a medic,Arzt rufen,打电话给医生,打電話給醫生,Вызвать медика,zavolej zdravotníka,wezwać lekarza,hívjon orvost,chiama un medico,llamar a un médico,appeler un médecin,chame um médico,薬を呼ぶ,
emergencies,Emergencies,Emergencies,Notfälle,紧急情况,緊急情況,Чрезвычайные ситуации,Nouzové situace,Nagłe wypadki,Vészhelyzetek,Emergenze,Emergencias,Urgences,Emergências,緊急事態,
medics_was_called,Medic was called,medic was called,Notarzt wurde gerufen,军医被称为,軍醫被稱為,Вызвали медика,Volal medik,Wezwano medyka,Medic-t hívták,Fu chiamato il medico,Medic fue llamado,Medic a été appelé,Medic foi chamado,メディックと呼ばれた,
there_is_a_new_emergency,There is a new emergency. Open the Almanac,There is a new emergency. Open the Almanac.,Neuer Notfall. Schaue in den Almanach.,有新的紧急情况。打开年历,有新的緊急情況。打開年曆,Возникла новая ЧП. Откройте Альманах,Je tu nová nouzová situace. Otevřete almanach,Jest nowa sytuacja awaryjna. Otwórz almanach,Új vészhelyzet van. Nyissa meg az Almanachot,C'è una nuova emergenza Apri l'Almanacco,Hay una nueva emergencia. Abra el Almanaque,Il y a une nouvelle urgence. Ouvrez l'Almanach,É uma nova emergência. Abra o Almanaque,新しい緊急事態があります。アルマナックを開く,
Money_to_Player,Money to Player,Money to Player,Geld zum Spieler,给玩家的钱,給玩家的錢,Деньги игроку,Peníze hráči,Pieniądze dla gracza,Pénz a játékosnak,Soldi al giocatore,Dinero al jugador,Argent au joueur,Dinheiro para o jogador,プレイヤーへのお金,
manage_medics,Manage Medics,Manage Medics,Medics verwalten,管理医务人员,管理醫務人員,Управление медиками,Správa zdravotníků,Zarządzaj medykami,Kezelje az orvosokat,Gestisci medici,Administrar médicos,Gérer les médecins,Gerenciar Medics,メディックを管理する,
update_medic_list_successful,Medic list updated,Medic list updated,Medicliste wurde aktualisiert,军医名单已更新,軍醫名單已更新,Список медиков обновлен,Seznam lékařů byl aktualizován,Zaktualizowano listę medyków,A gyógyszerek listája frissült,Elenco dei medici aggiornato,Lista de médicos actualizada,Liste des médecins mise à jour,Lista de médicos atualizada,メディックリストを更新,
Heal_menu_can_be_open_with,Menu can be open again with,Menu can be open again with,Menü kann geöffnet werden mit,菜单可以再次打开,菜單可以再次打開,Меню можно снова открыть с помощью,Menu lze znovu otevřít pomocí,Menu można ponownie otworzyć za pomocą,A menü ismét megnyitható a,Il menu può essere aperto di nuovo con,El menú se puede abrir de nuevo con,Le menu peut être ouvert à nouveau avec,O menu pode ser aberto novamente com,メニューはで再び開くことができます,
arrestTime,Arrest time,Arrest time,Arrestzeit,逮捕时间,逮捕時間,Время ареста,Čas zatčení,Czas aresztowania,Letartóztatás ideje,Tempo di arresto,Tiempo de detención,Heure d'arrestation,Hora de prisão,逮捕時間,
arrestReason,Arrest reason,Arrest reason,Arrest Grund,逮捕原因,逮捕原因,Причина ареста,Důvod zatčení,Powód aresztowania,Letartóztatás oka,Motivo dell'arresto,Motivo del arresto,Raison de l'arrestation,Razão de prisão,逮捕理由,
you_will_healed,You will healed,You will healed,Du wirst geheilt,你会he愈的,你會he癒的,Ты вылечишься,Uzdravíš se,Będziesz uzdrowiony,Meggyógyulsz,Sarai guarito,Serás curado,Tu seras guéri,Você será curado,あなたは癒されます,
you_will_healed_and_transport_to_hospital,You will healed and transported to hospital.,You will healed and transported to hospital.,Du wirst geheilt und zum Krankenhaus gebracht.,您将被治愈并运送到医院。,您將被治愈並運送到醫院。,Вас вылечат и доставят в больницу.,Budete uzdraveni a převezeni do nemocnice.,Zostaniesz uzdrowiony i przetransportowany do szpitala.,Meggyógyulsz és a kórházban.,Sarai guarito e in ospedale.,Será curado y transportado al hospital.,Vous serez guéri et transporté à l'hôpital.,Você será curado e transportado para o hospital.,あなたは癒され、病院に運ばれます。,
player_travels_between_worlds,Player travels between worlds. Please stand by.,Player travels between worlds. Please stand by.,Spieler befindet sich zwischen den Welten. Bitte warte kurz.,玩家在世界之间旅行。请稍等,玩家在世界之間旅行。請稍等,"Игрок путешествует между мирами. Подождите, пожалуйста.",Hráč cestuje mezi světy. Prosím vydržte.,Gracz podróżuje między światami. Proszę czekać.,"A játékos világok között utazik. Kérjük, álljon ki mellette.",Il giocatore viaggia tra i mondi. Attendi.,El jugador viaja entre mundos. Por favor espere.,Le joueur voyage entre les mondes. Veuillez patienter.,O jogador viaja entre mundos. Por favor espere.,プレイヤーは世界間を移動します。お待ちください。,
out_parking_with_insurance,out parking with insurance,out parking with insurance,Mit Versicherung ausparken,带保险的停车场,帶保險的停車場,Парковка со страховкой,parkování s pojištěním,parking z ubezpieczeniem,ki parkoló biztosítással,parcheggio fuori con assicurazione,fuera de estacionamiento con seguro,parking avec assurance,fora do estacionamento com seguro,保険付き駐車場,
car_can_not_store_is_ruined,Car damage is to high. Can not stored in,Car damage is to high. Can not stored in,Auto ist zu stark beschädigt. Es kann nicht ein geparkt werden.,汽车损坏严重。不能存放在,汽車損壞嚴重。不能存放在,Повреждение машины слишком велико. Не может храниться в,Poškození auta je vysoké. Nelze uložit v,Uszkodzenia samochodu są zbyt duże. Nie można przechowywać w,Az autó károsodása magas. Nem tárolható,Il danno all'auto è troppo alto. Non può essere riposto,El daño del coche es demasiado alto. No se puede almacenar en,Les dommages à la voiture sont trop élevés. Ne peut pas être stocké dans,Danos no carro são muito altos. Não pode ser armazenado em,車のダメージが大きいです。に保存できません,
has_insurance,Has insurance,Has insurance,Hat Versicherung,有保险,有保險,Есть страховка,Má pojištění,Posiada ubezpieczenie,Van biztosítása,Ha un'assicurazione,Tiene seguro,A une assurance,Tem seguro,保険に加入しています,
check_insurance,Check insurance,Check insurance,Prüfe Versicherung,检查保险,檢查保險,Проверить страховку,Zkontrolujte pojištění,Sprawdź ubezpieczenie,Ellenőrizze a biztosítást,Controlla l'assicurazione,Consultar seguro,Vérifier l'assurance,Verifique o seguro,保険を確認してください,
yes,yes,yes,ja,是的,是的,да,Ano,tak,Igen,sì,sí,Oui,sim,はい,
no,no,no,nein,不,不,нет,Ne,Nie,nem,no,No,non,não,番号,
House_Storage,House Storage,House Storage,Hausinventar,房屋储藏,房屋儲藏,Хранение дома,Skladování domu,Przechowywanie w domu,Ház tárolása,Deposito di casa,Almacenamiento de la casa,Stockage de la maison,Armazenamento doméstico,家の貯蔵,
Transfer,Transfer,Transfer,Transferieren,转移,轉移,Передача,Převod,Transfer,Átruházás,Trasferimento,Transferir,Transfert,Transferir,転送,
desc_house_inventory,Add an extendable inventory to your house,Add an extendable inventory to your house,Fügt ein erweiterbares Inventar zu deinem Haus hinzu.,向您的房屋添加可扩展的库存,向您的房屋添加可擴展的庫存,Добавьте расширяемый инвентарь в свой дом,Přidejte do svého domu rozšiřitelný inventář,Dodaj rozszerzalny ekwipunek do swojego domu,Adjon hozzá bővíthető készletet a házához,Aggiungi un inventario estendibile a casa tua,Agrega un inventario extensible a tu casa,Ajoutez un inventaire extensible à votre maison,Adicione um inventário extensível à sua casa,あなたの家に拡張可能な在庫を追加します,
Storage_Item_Max,Storage Item Max,Storage Item Max,Gegenstände max.,储存物品最大,儲存物品最大,Макс.,Skladovací položka Max,Pozycja pamięci maks,Tárolási cikk max,Articolo di archiviazione Max,Elemento de almacenamiento máx.,Stockage max.,Máximo de itens de armazenamento,収納アイテム最大,
Storage_lvl,Storage lvl,Storage lvl,Lager lvl,储物柜,儲物櫃,Уровень хранения,Skladování lvl,Magazyn lvl,Tárolás lvl,Archiviazione lvl,Nivel de almacenamiento,Niveau de stockage,Nível de armazenamento,ストレージレベル,
Total_Storage_Space,Total Storage Space,Total Storage Space,Lagerplatz,总存储空间,總存儲空間,Всего места для хранения,Celkový úložný prostor,Całkowita przestrzeń dyskowa,Teljes tárhely,Spazio di archiviazione totale,Espacio total de almacenamiento,Espace de stockage total,Espaço Total de Armazenamento,総収納スペース,
Storage_Space_Available,Storage Space Available,Storage Space Available,Lagerplatz Verfügbar,可用存储空间,可用存儲空間,Доступное место для хранения,Úložný prostor k dispozici,Dostępna przestrzeń dyskowa,Tárhely áll rendelkezésre,Spazio di archiviazione disponibile,Espacio de almacenamiento disponible,Espace de stockage disponible,Espaço de armazenamento disponível,利用可能なストレージスペース,
add_to_Player,add to Player,add to Player,zum Spieler,添加到播放器,添加到播放器,Добавить в Игрока,přidat do přehrávače,dodaj do odtwarzacza,add hozzá a Player-hez,aggiungi al lettore,agregar al jugador,ajouter au joueur,adicionar ao jogador,プレーヤーに追加,
add_to_House_Storage,add to House Storage,add to House Storage,ins Haus einlagern,添加到房屋存储,添加到房屋存儲,Добавить в домашнее хранилище,přidat do House Storage,dodaj do magazynu w domu,hozzá a House Storage-hoz,aggiungi a House Storage,añadir a almacenamiento de la casa,ajouter au rangement de la maison,adicionar ao armazenamento doméstico,ハウスストレージに追加,
successfully_extend_storage,Successful extend storage,Successful extend storage,Lager erfolgreich hinzugefügt,成功扩展存储,成功擴展存儲,Успешное расширение хранилища,Úspěšné rozšíření úložiště,Pomyślne rozszerzenie pamięci,Sikeres kiterjesztésű tárhely,Archiviazione estesa con successo,Almacenamiento extendido exitoso,Extension de stockage réussie,Extensão de armazenamento bem-sucedida,ストレージの拡張に成功,
raid_all_ready_started,Raid all ready started,Raid all ready started,Banküberfall ist schon gestarted,突袭准备就绪,突襲準備就緒,Рейд все готово началось,Raid připraven začít,Rozpoczął się nalot gotowy,A Raid minden készen áll,Raid tutto pronto iniziato,Raid todo listo comenzó,Raid tout prêt commencé,Raid já começou,RAIDの準備が整いました,
payback_robt_money,Payback robt money,Payback robt money,Geraubtes Geld zurückzahlen.,偿还抢劫钱,償還搶劫錢,Окупаемость денег,Vrácení peněz zpět,Zemsta kradzieży pieniędzy,Visszafizetési pénzösszeg,Rimborso rubato denaro,Payback robt money,Payback voler de l'argent,Dinheiro de roubo de vingança,返済の奪い金,
error_not_enough_money_payback,You have not enough money. Needed Money:,You have not enough money. Needed Money:,Nicht genug Geld vorhanden! Benötigtes Geld:,您没有足够的钱。所需资金：,您沒有足夠的錢。所需資金：,У тебя мало денег. Необходимые деньги:,Nemáte dost peněz. Potřebné peníze:,Masz za mało pieniędzy. Potrzebne pieniądze:,Nincs elég pénze. Szükséges pénz:,Non hai abbastanza soldi. Soldi necessari:,No tienes suficiente dinero. Dinero necesario:,Vous n'avez pas assez d'argent. Besoin d'argent:,Você não tem dinheiro suficiente. Dinheiro necessário:,お金が足りません。必要なお金：,
payback_was_successful,Payback was successful. You have paid back:,Payback was successful. You have paid back:,Rückzahlung erfolgreich. Du hast zurückgezahlt:,投资回收期成功。您已偿还：,投資回收期成功。您已償還：,Окупаемость прошла успешно. Вы вернули:,Návratnost byla úspěšná. Zaplatili jste:,Zemsta powiodła się. Spłaciłeś:,A visszafizetés sikeres volt. Visszafizette:,Il rimborso è andato a buon fine. Hai rimborsato:,La recuperación fue exitosa. Has devuelto:,La récupération a réussi. Vous avez remboursé:,O retorno foi bem-sucedido. Você pagou de volta:,回収は成功しました。あなたは返済しました：,
Tax,Tax,Tax,Steuer,税,稅,Налог,Daň,Podatek,Adó,Imposta,Impuesto,Impôt,Imposto,税金,
payback_was_successful,You have been refunded:,You have been refunded:,Du hast zurückgezahlt:,您已退款：,您已退款：,Вам вернули:,Byla vám vrácena částka:,Otrzymałeś zwrot pieniędzy:,Visszatérítést kaptak:,Sei stato rimborsato:,Se le ha reembolsado:,Vous avez été remboursé:,Você foi reembolsado:,返金されました：,
you_will_loose_all_money_on_you_char,Attention: You will lose all your money and items at char when you respawn.,Attention: You will lose all your money and items at char when you respawn.,Achtung: Du verlierst dein Geld und die Sachen die du bei dir trägst was du bei dir hast.,注意：重生时，您将失去所有在char上的金钱和物品。,注意：重生時，您將失去所有在char上的金錢和物品。,Внимание: вы потеряете все свои деньги и предметы на чар при возрождении.,Pozor: Při respawnu ztratíte všechny své peníze a předměty na char.,Uwaga: po odrodzeniu stracisz wszystkie pieniądze i przedmioty u postaci.,Figyelem: Az újrabandáláskor elveszíti az összes pénzét és tárgyait a char-nál.,Attenzione: perderai tutti i tuoi soldi e gli oggetti al char quando rigenererai.,Atención: perderá todo su dinero y artículos en char cuando reaparezca.,Attention: vous perdrez tout votre argent et vos objets à char lorsque vous réapparaissez.,Atenção: Você perderá todo o seu dinheiro e itens no char quando reaparecer.,注意：リスポーンすると、charですべてのお金とアイテムが失われます。,
bank_rob_will_finished_in,Bank raid is finished in (Minutes),Bank raid is finished in (Minutes),Banküberfall ist beendet in (Minuten),银行突击检查已完成（分钟）,銀行突擊檢查已完成（分鐘）,Банковский рейд завершен через (Минуты),Bankovní nájezd je dokončen za (minuty),Nalot na bank zakończy się za (minuty),A banki rajtaütés befejeződött (perc),Il raid in banca è terminato tra (minuti),El asalto bancario finaliza en (minutos),Le raid bancaire est terminé en (minutes),A invasão ao banco termina em (minutos),銀行襲撃は（分）で終了します,
nothing_is_selected,Nothing is selected,Nothing is selected,Es ist nichts ausgewählt.,没有选择,沒有選擇,Ничего не выбрано,Nic není vybráno,Nic nie jest wybrane,Nincs kiválasztva semmi,Niente è selezionato,No hay nada seleccionado,Rien n'est sélectionné,Nada está selecionado,何も選択されていません,
